Filename	Abstract
s10506-023-09345-y.pdf	The appropriate understanding and fast processing of lengthy legal documents are computationally challenging problems. Designing efficient automatic summariza- tion techniques can potentially be the key to deal with such issues. Extractive sum- marization is one of the most popular approaches for forming summaries out of such lengthy documents, via the process of summary-relevant sentence selection. An effi- cient application of this approach involves appropriate scoring of sentences, which helps in the identification of more informative and essential sentences from the document. In this work, a novel sentence scoring approach DCESumm is proposed which consists of supervised sentence-level summary relevance prediction, as well as unsupervised clustering-based document-level score enhancement. Experimental results on two legal document summarization datasets, BillSum and Forum of Infor- mation Retrieval Evaluation (FIRE), reveal that the proposed approach can achieve significant improvements over the current state-of-the-art approaches. More specifi- cally it achieves ROUGE metric F1-score improvements of (1−6)% and (6−12)% for the BillSum and FIRE test sets respectively. Such impressive summarization results suggest the usefulness of the proposed approach in finding the gist of a lengthy legal document, thereby providing crucial assistance to legal practitioners. Keywords Legal document summarization · Extractive summarization · Legal BERT · Deep clustering * Deepali Jain deepali_rs@cse.nits.ac.in Malaya Dutta Borah malayaduttaborah@cse.nits.ac.in Anupam Biswas anupam@cse.nits.ac.in

3543507.3583197.pdf	Extractive summarization helps provide a short description or a di­ gest of news or other web texts. It enhances the reading experience of users, especially when they are reading on small displays (e.g., mobile phones). Matching-based methods are recently proposed for the extractive summarization task, which extracts a summary from a global view via a document-summary matching framework. However, these methods only calculate similarities between candi­ date summaries and the entire document embeddings, insufciently capturing interactions between diferent contextual information in the document to accurately estimate the importance of candidates. In this paper, we propose a new hyperbolic interaction model for extractive multi-document summarization (HISum). Specifcally, HISum frst learns document and candidate summary representa­ tions in the same hyperbolic space to capture latent hierarchical structures and then estimates the importance scores of candidates by jointly modeling interactions between each candidate and the document from global and local views. Finally, the importance scores are used to rank and extract the best candidate as the ex­ tracted summary. Experimental results on several benchmarks show that HISum outperforms the state-of-the-art extractive baselines1. CCS CONCEPTS • Computing methodologies → Information extraction. KEYWORDS Extractive Summarization, Multi-document Summarization, Repre­ sentation Learning, Hyperbolic Deep Learning ACM Reference Format: Mingyang Song, Yi Feng, and Liping Jing. 2023. HISum: Hyperbolic Interac­ tion Model for Extractive Multi-Document Summarization. In Proceedings of the ACM Web Conference 2023 (WWW ’23), April 30–May 04, 2023, Austin, TX, USA. ACM, New York, NY, USA, 10 pages.

pone.0304057.pdf	Automatic Text Summarization (ATS) is gaining popularity as there is a growing demand for a system capable of processing extensive textual content and delivering a concise, yet meaningful, relevant, and useful summary. Manual summarization is both expensive and time-consuming, making it impractical for humans to handle vast amounts of data. Conse- quently, the need for ATS systems has become evident. These systems encounter chal- lenges such as ensuring comprehensive content coverage, determining the appropriate length of the summary, addressing redundancy, and maintaining coherence in the gener- ated summary. Researchers are actively addressing these challenges by employing Natural Language Processing (NLP) techniques. While traditional methods exist for generating summaries, they often fall short of addressing multiple aspects simultaneously. To over- come this limitation, recent advancements have introduced multi-objective evolutionary algorithms for ATS. This study proposes an enhancement to the performance of ATS through the utilization of an improved version of the Binary Multi-Objective Grey Wolf Opti- mizer (BMOGWO), incorporating mutation. The performance of this enhanced algorithm is assessed by comparing it with state-of-the-art algorithms using the DUC2002 dataset. Experimental results demonstrate that the proposed algorithm significantly outperforms the compared approaches.

2301.12652v4.pdf	We introduce REPLUG, a retrieval-augmented lan- guage modeling framework that treats the lan- guage model (LM) as a black box and augments it with a tuneable retrieval model. Unlike prior retrieval-augmented LMs that train language mod- els with special cross attention mechanisms to en- code the retrieved text, REPLUG simply prepends retrieved documents to the input for the frozen black-box LM. This simple design can be eas- ily applied to any existing retrieval and language models. Furthermore, we show that the LM can be used to supervise the retrieval model, which can then find documents that help the LM make better predictions. Our experiments demonstrate that REPLUG with the tuned retriever significantly improves the performance of GPT-3 (175B) on language modeling by 6.3%, as well as the perfor- mance of Codex on five-shot MMLU by 5.1%.

2310.04408v1.pdf	Retrieving documents and prepending them in-context at inference time improves performance of language model (LMs) on a wide range of tasks. However, these documents, often spanning hundreds of words, make inference substantially more expensive. We propose compressing the retrieved documents into textual sum- maries prior to in-context integration. This not only reduces the computational costs but also relieves the burden of LMs to identify relevant information in long re- trieved documents. We present two compressors – an extractive compressor which selects useful sentences from retrieved documents and an abstractive compressor which generates summaries by synthesizing information from multiple documents. Both compressors are trained to improve LMs’ performance on end tasks when the generated summaries are prepended to the LMs’ input, while keeping the summary concise. If the retrieved documents are irrelevant to the input or offer no additional information to LM, our compressor can return an empty string, implementing selective augmentation. We evaluate our approach on language modeling task and open domain question answering task. We achieve a compression rate of as low as

